animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
skimmer,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
swan,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,bird
wolf,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
frog,False,False,True,False,False,True,True,True,True,True,True,False,4,False,False,False,amphibian
bass,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
giraffe,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
dolphin,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
dove,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
calf,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
tortoise,False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,reptile
flamingo,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,bird
gorilla,True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,mammal
wren,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
squirrel,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,mammal
rhea,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,bird
honeybee,True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,insect
parakeet,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
piranha,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
gull,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
lion,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
herring,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
moth,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
seasnake,False,False,False,False,False,True,True,True,True,False,True,False,0,True,False,False,reptile
porpoise,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
mole,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
reindeer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
aardvark,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
pussycat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,mammal
crow,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,bird
fruitbat,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,mammal
hamster,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,False,mammal
