Trees,Difference,Precision,Recall,FBeta
1,26,0.8797436846177134,0.880184331797235,0.8798852276872517
2,9,0.959078939493686,0.9585253456221198,0.9582502707274466
3,8,0.9631336405529954,0.9631336405529954,0.9631336405529954
4,6,0.9723889131824146,0.9723502304147466,0.9722812063893658
5,4,0.9816534360388847,0.9815668202764977,0.9815208042595773
6,5,0.9771842481022803,0.9769585253456221,0.9768704547306031
7,8,0.963474354087985,0.9631336405529954,0.9632181660129754
8,8,0.9634566717416567,0.9631336405529954,0.9629419085741197
9,4,0.9815668202764977,0.9815668202764977,0.9815668202764977
10,3,0.9861859917204636,0.9861751152073732,0.9861582147528241
15,4,0.9818266865319981,0.9815668202764977,0.9816090830064876
20,6,0.9726505203099917,0.9723502304147466,0.9724136245097315
25,7,0.9683456960496808,0.967741935483871,0.9678504534967759
30,5,0.9770563097012853,0.9769585253456221,0.9769855199762862
50,3,0.9861859917204636,0.9861751152073732,0.9861582147528241
100,7,0.9677067959800407,0.967741935483871,0.9677025010899228
200,5,0.9769463938502523,0.9769585253456221,0.9769303579213735
500,5,0.9770563097012853,0.9769585253456221,0.9769855199762862
1000,5,0.9770563097012853,0.9769585253456221,0.9769855199762862
2500,5,0.9770563097012853,0.9769585253456221,0.9769855199762862
