Weight,DistanceMetric,Algorithm,Neighbours,Difference
distance,euclidean,ball_tree,1,143
distance,euclidean,ball_tree,2,142
distance,euclidean,ball_tree,3,142
distance,euclidean,ball_tree,4,136
distance,euclidean,ball_tree,5,146
distance,euclidean,ball_tree,6,138
distance,euclidean,ball_tree,7,147
distance,euclidean,ball_tree,8,142
distance,euclidean,ball_tree,9,147
distance,euclidean,ball_tree,10,142
distance,euclidean,ball_tree,15,143
distance,euclidean,ball_tree,20,139
distance,euclidean,ball_tree,25,140
distance,euclidean,ball_tree,30,140
distance,euclidean,ball_tree,50,143
distance,euclidean,ball_tree,100,154
distance,euclidean,kd_tree,1,143
distance,euclidean,kd_tree,2,142
distance,euclidean,kd_tree,3,143
distance,euclidean,kd_tree,4,136
distance,euclidean,kd_tree,5,145
distance,euclidean,kd_tree,6,138
distance,euclidean,kd_tree,7,143
distance,euclidean,kd_tree,8,145
distance,euclidean,kd_tree,9,149
distance,euclidean,kd_tree,10,140
distance,euclidean,kd_tree,15,143
distance,euclidean,kd_tree,20,137
distance,euclidean,kd_tree,25,138
distance,euclidean,kd_tree,30,140
distance,euclidean,kd_tree,50,143
distance,euclidean,kd_tree,100,153
distance,euclidean,brute,1,134
distance,euclidean,brute,2,139
distance,euclidean,brute,3,148
distance,euclidean,brute,4,134
distance,euclidean,brute,5,138
distance,euclidean,brute,6,131
distance,euclidean,brute,7,135
distance,euclidean,brute,8,132
distance,euclidean,brute,9,144
distance,euclidean,brute,10,141
distance,euclidean,brute,15,144
distance,euclidean,brute,20,144
distance,euclidean,brute,25,138
distance,euclidean,brute,30,139
distance,euclidean,brute,50,144
distance,euclidean,brute,100,158
distance,manhattan,ball_tree,1,127
distance,manhattan,ball_tree,2,130
distance,manhattan,ball_tree,3,122
distance,manhattan,ball_tree,4,121
distance,manhattan,ball_tree,5,121
distance,manhattan,ball_tree,6,124
distance,manhattan,ball_tree,7,117
distance,manhattan,ball_tree,8,120
distance,manhattan,ball_tree,9,122
distance,manhattan,ball_tree,10,121
distance,manhattan,ball_tree,15,119
distance,manhattan,ball_tree,20,123
distance,manhattan,ball_tree,25,121
distance,manhattan,ball_tree,30,122
distance,manhattan,ball_tree,50,126
distance,manhattan,ball_tree,100,131
distance,manhattan,kd_tree,1,127
distance,manhattan,kd_tree,2,129
distance,manhattan,kd_tree,3,123
distance,manhattan,kd_tree,4,122
distance,manhattan,kd_tree,5,122
distance,manhattan,kd_tree,6,124
distance,manhattan,kd_tree,7,118
distance,manhattan,kd_tree,8,120
distance,manhattan,kd_tree,9,120
distance,manhattan,kd_tree,10,124
distance,manhattan,kd_tree,15,119
distance,manhattan,kd_tree,20,125
distance,manhattan,kd_tree,25,124
distance,manhattan,kd_tree,30,127
distance,manhattan,kd_tree,50,128
distance,manhattan,kd_tree,100,131
distance,manhattan,brute,1,115
distance,manhattan,brute,2,128
distance,manhattan,brute,3,124
distance,manhattan,brute,4,118
distance,manhattan,brute,5,112
distance,manhattan,brute,6,117
distance,manhattan,brute,7,116
distance,manhattan,brute,8,116
distance,manhattan,brute,9,114
distance,manhattan,brute,10,115
distance,manhattan,brute,15,113
distance,manhattan,brute,20,128
distance,manhattan,brute,25,121
distance,manhattan,brute,30,127
distance,manhattan,brute,50,131
distance,manhattan,brute,100,137
uniform,euclidean,ball_tree,1,143
uniform,euclidean,ball_tree,2,211
uniform,euclidean,ball_tree,3,173
uniform,euclidean,ball_tree,4,211
uniform,euclidean,ball_tree,5,200
uniform,euclidean,ball_tree,6,223
uniform,euclidean,ball_tree,7,218
uniform,euclidean,ball_tree,8,240
uniform,euclidean,ball_tree,9,217
uniform,euclidean,ball_tree,10,229
uniform,euclidean,ball_tree,15,224
uniform,euclidean,ball_tree,20,223
uniform,euclidean,ball_tree,25,233
uniform,euclidean,ball_tree,30,241
uniform,euclidean,ball_tree,50,255
uniform,euclidean,ball_tree,100,287
uniform,euclidean,kd_tree,1,143
uniform,euclidean,kd_tree,2,210
uniform,euclidean,kd_tree,3,174
uniform,euclidean,kd_tree,4,213
uniform,euclidean,kd_tree,5,199
uniform,euclidean,kd_tree,6,225
uniform,euclidean,kd_tree,7,213
uniform,euclidean,kd_tree,8,238
uniform,euclidean,kd_tree,9,218
uniform,euclidean,kd_tree,10,228
uniform,euclidean,kd_tree,15,219
uniform,euclidean,kd_tree,20,226
uniform,euclidean,kd_tree,25,232
uniform,euclidean,kd_tree,30,245
uniform,euclidean,kd_tree,50,253
uniform,euclidean,kd_tree,100,282
uniform,euclidean,brute,1,134
uniform,euclidean,brute,2,206
uniform,euclidean,brute,3,187
uniform,euclidean,brute,4,216
uniform,euclidean,brute,5,194
uniform,euclidean,brute,6,219
uniform,euclidean,brute,7,201
uniform,euclidean,brute,8,218
uniform,euclidean,brute,9,208
uniform,euclidean,brute,10,216
uniform,euclidean,brute,15,224
uniform,euclidean,brute,20,233
uniform,euclidean,brute,25,234
uniform,euclidean,brute,30,235
uniform,euclidean,brute,50,250
uniform,euclidean,brute,100,294
uniform,manhattan,ball_tree,1,127
uniform,manhattan,ball_tree,2,182
uniform,manhattan,ball_tree,3,146
uniform,manhattan,ball_tree,4,177
uniform,manhattan,ball_tree,5,165
uniform,manhattan,ball_tree,6,183
uniform,manhattan,ball_tree,7,164
uniform,manhattan,ball_tree,8,178
uniform,manhattan,ball_tree,9,173
uniform,manhattan,ball_tree,10,178
uniform,manhattan,ball_tree,15,172
uniform,manhattan,ball_tree,20,173
uniform,manhattan,ball_tree,25,190
uniform,manhattan,ball_tree,30,200
uniform,manhattan,ball_tree,50,209
uniform,manhattan,ball_tree,100,229
uniform,manhattan,kd_tree,1,127
uniform,manhattan,kd_tree,2,177
uniform,manhattan,kd_tree,3,147
uniform,manhattan,kd_tree,4,173
uniform,manhattan,kd_tree,5,168
uniform,manhattan,kd_tree,6,183
uniform,manhattan,kd_tree,7,166
uniform,manhattan,kd_tree,8,180
uniform,manhattan,kd_tree,9,171
uniform,manhattan,kd_tree,10,182
uniform,manhattan,kd_tree,15,174
uniform,manhattan,kd_tree,20,179
uniform,manhattan,kd_tree,25,188
uniform,manhattan,kd_tree,30,202
uniform,manhattan,kd_tree,50,219
uniform,manhattan,kd_tree,100,227
uniform,manhattan,brute,1,115
uniform,manhattan,brute,2,169
uniform,manhattan,brute,3,153
uniform,manhattan,brute,4,173
uniform,manhattan,brute,5,152
uniform,manhattan,brute,6,178
uniform,manhattan,brute,7,163
uniform,manhattan,brute,8,173
uniform,manhattan,brute,9,165
uniform,manhattan,brute,10,187
uniform,manhattan,brute,15,171
uniform,manhattan,brute,20,178
uniform,manhattan,brute,25,192
uniform,manhattan,brute,30,195
uniform,manhattan,brute,50,211
uniform,manhattan,brute,100,230
